iata,latitude,longitude,total
LGB,33.81772222,-118.1516111,15443
LIH,21.97598306,-159.3389581,13184
LIT,34.72939611,-92.22424556,15369
LMT,42.15614361,-121.7332081,511
LNK,40.85097222,-96.75925,3037
LRD,27.54373861,-99.46154361,2115
LSE,43.87937972,-91.25653778,2005
LWB,37.85830556,-80.39947222,185
LWS,46.37449806,-117.0153944,652
LYH,37.32668528,-79.20043056,625
MAF,31.94252778,-102.2019139,6839
MBS,43.53291472,-84.07964722,2918
MCI,39.29760528,-94.71390556,59370
MCN,32.69284944,-83.64921083,652
MCO,28.42888889,-81.31602778,130872
MDT,40.19349528,-76.76340361,7594
MDW,41.7859825,-87.75242444,87619
MEI,32.33313333,-88.75120556,674
MEM,35.04241667,-89.97666667,80966
MFE,26.17583333,-98.23861111,4116
MFR,42.37422778,-122.8734978,5652
MGM,32.30064417,-86.39397611,3851
MHT,42.93451639,-71.43705583,18588
MIA,25.79325,-80.29055556,62559
MKE,42.94722222,-87.89658333,42700
MKG,43.16948806,-86.23822306,396
MLB,28.10275,-80.64580556,2002
MLI,41.44852639,-90.50753917,8567
MLU,32.51086556,-92.03768778,2530
MOB,30.69141667,-88.24283333,6348
MOD,37.62581722,-120.9544214,2325
MOT,48.25937778,-101.2803339,1085
MQT,46.353639,-87.395361,991
MRY,36.5869825,-121.8429478,7607
MSN,43.13985778,-89.33751361,13961
MSO,46.91630556,-114.0905556,3256
MSP,44.88054694,-93.2169225,130289
MSY,29.99338889,-90.25802778,39422
MTJ,38.50886722,-107.8938333,2419
MYR,33.67975,-78.92833333,5335
OAJ,34.82916444,-77.61213778,1184
OAK,37.72129083,-122.2207167,62535
OGG,20.89864972,-156.4304578,19940
OKC,35.39308833,-97.60073389,25152
OMA,41.30251861,-95.89417306,27007
OME,64.51220222,-165.4452458,1090
ONT,34.056,-117.6011944,35072
ORD,41.979595,-87.90446417,350380
ORF,36.89461111,-76.20122222,16458
OTH,43.41713889,-124.2460278,515
OTZ,66.88467694,-162.5985497,1086
OXR,34.20080083,-119.2072164,1292
PBI,26.68316194,-80.09559417,27822
PDX,45.58872222,-122.5975,57860
PFN,30.21208333,-85.68280556,3875
PHF,37.13189556,-76.4929875,6406
PHL,39.87195278,-75.24114083,100499
PHX,33.43416667,-112.0080556,199408
PIA,40.66424333,-89.69330556,5581
PIH,42.91130556,-112.5958611,1659
PIR,44.38267694,-100.285965,5
PIT,40.49146583,-80.23287083,41800
PLN,45.5709275,-84.796715,264
PMD,34.62938889,-118.0845528,728
PNS,30.47330556,-87.18744444,9497
PSC,46.26468028,-119.1190292,2541
PSG,56.80165194,-132.9452781,727
PSP,33.82921556,-116.5062531,11979
PUB,38.28908722,-104.4965722,2
PVD,41.72399917,-71.42822111,22509
PWM,43.64616667,-70.30875,6897
RAP,44.04532139,-103.0573708,4161
RDD,40.50898361,-122.2934019,1682
RDM,44.25406722,-121.1499633,3434
RDU,35.87763889,-78.78747222,60179
RFD,42.19536389,-89.09721111,290
RHI,45.63119306,-89.46745361,221
RIC,37.50516667,-77.31966667,19977
RKS,41.5942175,-109.0651928,954
RNO,39.49857611,-119.7680647,24286
ROA,37.32546833,-79.97542833,3720
ROC,43.11886611,-77.67238389,14264
ROW,33.30155556,-104.5305556,961
RST,43.90882639,-92.49798722,3353
RSW,26.53616667,-81.75516667,27136
SAN,32.73355611,-117.1896567,93775
SAT,29.53369444,-98.46977778,45270
SAV,32.12758333,-81.20213889,13774
SBA,34.42621194,-119.8403733,12568
SBN,41.70895361,-86.31847417,5319
SBP,35.23705806,-120.6423931,5846
SCC,70.19475583,-148.4651608,727
SCE,40.851206,-77.846302,645
SDF,38.17438889,-85.736,22458
SEA,47.44898194,-122.3093131,109069
SFO,37.61900194,-122.3748433,140587
SGF,37.24432611,-93.38685806,10087
SGU,37.09058333,-113.5930556,3319
SHV,32.4466275,-93.82559833,8079
SIT,57.04713806,-135.3615983,1332
SJC,37.36186194,-121.9290089,57136
SJT,31.35775,-100.4963056,1316
SLC,40.78838778,-111.9777731,139088
SLE,44.90952778,-123.0025,486
SMF,38.69542167,-121.5907669,53056
SMX,34.89924833,-120.4575825,1681
SNA,33.67565861,-117.8682225,47376
SPI,39.84395194,-89.67761861,1225
SPS,33.98879611,-98.49189333,1834
SRQ,27.39533333,-82.55411111,6432
STL,38.74768694,-90.35998972,62733
SUN,43.50484139,-114.2965903,2871
SUX,42.40260333,-96.38436694,122
SWF,41.50409361,-74.10483833,4249
SYR,43.11118694,-76.10631056,12032
TEX,37.95375861,-107.90848,194
TLH,30.39652778,-84.35033333,5912
TOL,41.58680556,-83.80783333,1478
TPA,27.97547222,-82.53325,78179
TRI,36.47521417,-82.40742056,2117
TUL,36.19837222,-95.88824167,23459
TUP,34.26810833,-88.769895,10
TUS,32.11608333,-110.9410278,26661
TVC,44.74144472,-85.582235,4262
TWF,42.48180389,-114.4877356,1813
TXK,33.45370806,-93.99102,1250
TYR,32.35413889,-95.40238611,1585
TYS,35.81248722,-83.99285583,14004
VLD,30.7825,-83.27672222,938
VPS,30.48325,-86.5254,6820
WRG,56.48432583,-132.3698242,727
WYS,44.68839917,-111.1176375,264
XNA,36.28186944,-94.30681111,14112
YAK,59.50336056,-139.6602261,725
YKM,46.56816972,-120.5440594,340
YUM,32.65658333,-114.6059722,3871
